link,category,name,image,description,availability,mpn,sku,brand,price,condition,seller,full description
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/TOSHIBA/HDEPX40DAB51_335633.htm,Home/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/HDEPX40DAB51, Toshiba HDEPX40DAB51 16TB 7.2K Rpm sata-6gbps 512MB 3.5&quot; Oem Hdd,http://www.serversuply.com//images/item/335633.jpg,TOSHIBA HDEPX40DAB51 16TB 7200RPM SATA-6GBPS 512MB BUFFER 512E 3.5INCH INTERNAL HARD DISK DRIVE. NEW DELL OEM WITH 2 YEARS WARRANTY. ,IN STOCK,HDEPX40DAB51,335633,TOSHIBA,530,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Toshiba
Manufacturer Model : Hdepx40dab51
Product Type : Hard Disk Drive

Key Features :
Storage Capacity : 16 Tb
Enclosure : Internal
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Mttf : 2,500,000 Hours
Rotational Speed : 7200 Rpm
Buffer : 512 Mb

Physical :
Width : 101.85 Mm
Height : 26.1 Mm
Width : 147.0 Mm



condition : Brand New Dell Oem.
availability : In Stock.
our Warranty : 2 Years."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/SEAGATE/ST16000VE000_328089.htm,Home/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/ST16000VE000, Seagate ST16000VE000 Skyhawk AI 16TB 7.2k sata-6gbps 512e 3.5&quot; hdd,http://www.serversuply.com//images/item/328089.jpg,SEAGATE ST16000VE000 SKYHAWK AI 16TB 7200RPM SATA-6GBPS 256MB BUFFER 512E 3.5INCH INTERNAL HARD DISK DRIVE DESIGNED FOR ARTIFICIAL INTELLIGENCE (AI) ENABLED VIDEO SURVEILLANCE SOLUTIONS. ,IN STOCK,ST16000VE000,328089,SEAGATE,520,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St16000ve000
Product Line : Skyhawk Ai
Product Name : Skyhawk Ai St16000ve000 16tb Hard Drive

Key Features :
Storage Capacity : 16 Tb
Enclosure : Internal
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Rotational Speed : 7200 Rpm

Best-fit Applications :
Network Video Recorders (nvr)
Ai-enabled Nvr Systems
Video-edge Nvrs
Nvrs With Advanced Analytics

Performance :
Drive Bays Supported : 16+
Ai Streams : 16
Hd Cameras Supported : Up To 64
I/o Data-transfer Rate (max) : 600 Mbps
Max Sustained Data Rate : 250 Mbps
Buffer : 256 Mb

Reliability/data Integrity :
Tarnish Resistant : Yes
Load/unload Cycles : 300,000
Nonrecoverable Read Errors Per Bits Read (max) : 1 Per 10e15
Power-on Hours Per Year (24×7) : 8760
Workload Rate Limit (wrl) : 550
Mtbf : 2,000,000 Hours

Physical :
Dimensions (h X W X D) : 26.11 X 101.85 X 146.99 Mm
Weight : 690 G



Condition : New.
Availability : In Stock.
Mfg Warrenty : None.
Server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/SEAGATE/ST16000NM001G_326056.htm,Home/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/ST16000NM001G, Seagate ST16000NM001G Exos X16 16tb sata-6gbps 7.2K 512e/4kn 3.5&quot; hdd,http://www.serversuply.com//images/item/326056.jpg,SEAGATE ST16000NM001G EXOS X16 16TB 7200RPM SATA-6GBPS 256MB BUFFER 512E/4KN 3.5INCH ENTERPRISE HARD DISK DRIVE. NEW WITH MFG WARRANTY. ,IN STOCK,ST16000NM001G,326056,SEAGATE,305,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St16000nm001g
Product Line : Exos X16
Product Name : Exos X16 16tb Hard Drive.

Best-fit Applications :
Hyperscale Applications/cloud Data Centers
Massive Scale-out Data Centers
Big Data Applications
High-capacity Density Raid Storage
Mainstream Enterprise External Storage Arrays
Distributed File Systems, Including Hadoop And Ceph
Enterprise Backup And Restore— D2d, Virtual Tape
Centralized Surveillance

Key Features :
Storage Capacity : 16 Tb
Enclosure : Internal
Interface : Sata-6gbps
512e Sector Size (bytes Per Sector) : 512
4kn Sector Size (bytes Per Sector) : 4096
Drive Dimensions : 3.5 Inch
Mtbf : 2.5 Million Hours
Helium Sealed-drive Design : Yes
Superparity : Yes
Low Halogen : Yes
Powerchoice™ Idle Power Technology : Yes
Powerchoice™ Power/performance Technology : Yes
Low Halogen/hot-plug Support : Yes
Organic Solderability Preservative : Yes
Rsa 2048 Firmware Verification (sd&d) : Yes

Drive Performance :
Interface Access Speed (gb/s) : 6.0, 3.0
Sustained Data Transfer Rate Od (max): Up To 261, 249 Mbps
Random Read/write 4k Qd16 Wcd (iops) : 170/440
Average Latency : 4.16 Ms
Interface Ports : Single
Buffer : 256 Mb
Rotational Speed : 7200 Rpm

Physical :
Dimensions ( L X W X H) : 147.0 X 101.85 X 26.11 Mm
Weight : 670 G



Condition : Brand New With Mfg Warranty.
Availability : In Stock.
Server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/WESTERN DIGITAL/WD161KRYZ_338295.htm,Home/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/WD161KRYZ, WD Gold WD161KRYZ Enterprise Class 16TB 7200RPM Sata 6Gbps 512MB Cache 3.5&quot; HDD,http://www.serversuply.com//images/item/338295.jpg,WESTERN DIGITAL WD161KRYZ WD GOLD 16TB 7200RPM SATA-6GBPS 512MB BUFFER 3.5INCH INTERNAL ENTERPRISE CLASS HARD DISK DRIVE. NEW WITH MFG WARRANTY. ,IN STOCK,WD161KRYZ,338295,WESTERN DIGITAL,438,New,Sever Supply,"Detail overview
General Information:
Manufacturer: Western Digital Corporation
Manufacturer Website Address: Www.wdc.com
Manufacturer Part Number: Wd161kryz
Product Line: Wd Gold
Product Name: Wd Gold 16tb Enterprise Class Hard Drive

Key Features :
Capacity : 16 Tb
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Spindle Speed : 7200 Rpm
Buffer : 512 Mb



condition : New With Mfg Warranty.
availability : In Stock.
server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/SEAGATE/ST16000NM001J_340193.htm,Home/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/ST16000NM001J, Seagate ST16000NM001J Exos X18 16tb 7.2K sata-6gbps 256mb buffer 3.5&quot; Hdd,http://www.serversuply.com//images/item/340193.jpg,SEAGATE ST16000NM001J EXOS X18 16TB 7200RPM SATA-6GBPS 256MB BUFFER 512E/4KN SED 3.5INCH ENTERPRISE HARD DISK DRIVE. NEW WITH MFG WARRANTY. ,IN STOCK,ST16000NM001J,340193,SEAGATE,450,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St16000nm001j
Product Line : Exos X18
Product Name : Exos X18 16tb Hard Drive.

Best-fit Applications :
Scalable Hyperscale Applications/cloud Data Centers
Massive Scale-out Data Centers
Big Data Applications
High-capacity Density Raid Storage
Mainstream Enterprise External Storage Arrays
Distributed File Systems, Including Hadoop And Ceph
Enterprise Backup And Restore— D2d, Virtual Tape
Centralized Surveillance

Key Features :
Storage Capacity : 16 Tb
Enclosure : Internal
Interface : Sata-6gbps
512e Sector Size (bytes Per Sector) : 512
4kn Sector Size (bytes Per Sector) : 4096
Drive Dimensions : 3.5 Inch
Mtbf : 2.5 Million Hours
Helium Sealed-drive Design : Yes
Superparity : Yes
Low Halogen : Yes
Powerchoice™ Idle Power Technology : Yes
Powerchoice™ Power/performance Technology : Yes
Low Halogen/hot-plug Support : Yes
Organic Solderability Preservative : Yes
Rsa 2048 Firmware Verification (sd&d) : Yes

Drive Performance :
Interface Access Speed (gb/s) : 6.0, 3.0
Sustained Data Transfer Rate Od (max): Up To 261, 249 Mbps
Random Read/write 4k Qd16 Wcd (iops) : 170/550
Average Latency : 4.16 Ms
Interface Ports : Single
Buffer : 256 Mb
Rotational Speed : 7200 Rpm

Physical :
Dimensions ( L X W X H) : 147.0 X 101.85 X 26.1 Mm
Weight : 670 G



Condition : Brand New With Mfg Warranty.
Availability : In Stock.
Server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/SEAGATE/ST16000VE002_342054.htm,Home/HARD DRIVES/SATA-6GBPS/16TB-7200RPM/ST16000VE002, Seagate ST16000VE002 Skyhawk AI 16tb 7.2k sata-6gbps 512e 3.5&quot; Hdd,http://www.serversuply.com//images/item/342054.jpg,SEAGATE ST16000VE002 SKYHAWK AI 16TB 7200RPM SATA-6GBPS 256MB BUFFER 512E 3.5INCH INTERNAL HARD DISK DRIVE DESIGNED FOR ARTIFICIAL INTELLIGENCE (AI) ENABLED VIDEO SURVEILLANCE SOLUTIONS. NEW WITH MFG WARRANTY. ,IN STOCK,ST16000VE002,342054,SEAGATE,400,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St16000ve002
Product Line : Skyhawk Ai
Product Name : Skyhawk Ai St16000ve002 16tb Hard Drive

Key Features :
Storage Capacity : 16 Tb
Enclosure : Internal
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Rotational Speed : 7200 Rpm

Best-fit Applications :
Network Video Recorders (nvr)
Ai-enabled Nvr Systems
Video-edge Nvrs
Nvrs With Advanced Analytics

Performance :
Drive Bays Supported : 16+
Hd Cameras Supported : Up To 64
Max Sustained Data Rate : 250 Mbps
Buffer : 256 Mb

Reliability/data Integrity :
Tarnish Resistant : Yes
Load/unload Cycles : 300,000
Nonrecoverable Read Errors Per Bits Read (max) : 1 Per 10e15
Power-on Hours Per Year (24×7) : 8760
Workload Rate Limit (wrl) : 550
Mtbf : 2,000,000 Hours

Physical :
Dimensions (h X W X D) : 26.11 X 101.85 X 146.99 Mm
Weight : 670 G



condition : Brand New With Mfg Warranty.
availability : In Stock.
server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/14TB-5400RPM/WESTERN DIGITAL/WD140EFFX_332279.htm,Home/HARD DRIVES/SATA-6GBPS/14TB-5400RPM/WD140EFFX, WD Red Nas WD140EFFX 14TB 5400RPM SATA 6.0Gbps 512MB Cache 3.5&quot; HDD,http://www.serversuply.com//images/item/332279.jpg,WESTERN DIGITAL WD140EFFX WD RED NAS 14TB 5400RPM SATA-6GBPS 512MB BUFFER 3.5INCH INTERNAL HARD DISK DRIVE. NEW WITH MFG WARRANTY. CALL.,IN STOCK,WD140EFFX,332279,WESTERN DIGITAL,535,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Western Digital Corporation
Manufacturer Website Address : Www.wdc.com
Manufacturer Part Number : Wd140effx
Product Line : Wd Red
Product Name: Wd Red Nas 14tb Hard Drive

Key Features :
Capacity : 14 Tb
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Spindle Speed : 5400 Rpm
Max. Sustained Transfer Rate : 210 Mbps
Buffer : 512 Mb

Physical :
Dimensions (l X W X H) : 147.0 X 101.6 X 26.1 Mm
Weight : 690 G


condition : New With Mfg Warranty.
availability : Call.
server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/SEAGATE/ST18000VE002_342053.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/ST18000VE002, Seagate ST18000VE002 Skyhawk AI 18tb 7.2k sata-6gbps 512e 3.5&quot; Hdd,http://www.serversuply.com//images/item/342053.jpg,SEAGATE ST18000VE002 SKYHAWK AI 18TB 7200RPM SATA-6GBPS 256MB BUFFER 512E 3.5INCH INTERNAL HARD DISK DRIVE DESIGNED FOR ARTIFICIAL INTELLIGENCE (AI) ENABLED VIDEO SURVEILLANCE SOLUTIONS. NEW WITH MFG WARRANTY. ,IN STOCK,ST18000VE002,342053,SEAGATE,460,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St18000ve002
Product Line : Skyhawk Ai
Product Name : Skyhawk Ai St18000ve002 18tb Hard Drive

Key Features :
Storage Capacity : 18 Tb
Enclosure : Internal
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Rotational Speed : 7200 Rpm

Best-fit Applications :
Network Video Recorders (nvr)
Ai-enabled Nvr Systems
Video-edge Nvrs
Nvrs With Advanced Analytics

Performance :
Drive Bays Supported : 16+
Hd Cameras Supported : Up To 64
Max Sustained Data Rate : 260 Mbps
Buffer : 256 Mb

Reliability/data Integrity :
Tarnish Resistant : Yes
Load/unload Cycles : 300,000
Nonrecoverable Read Errors Per Bits Read (max) : 1 Per 10e15
Power-on Hours Per Year (24×7) : 8760
Workload Rate Limit (wrl) : 550
Mtbf : 2,000,000 Hours

Physical :
Dimensions (h X W X D) : 26.11 X 101.85 X 146.99 Mm
Weight : 670 G



condition : Brand New With Mfg Warranty.
availability : In Stock.
server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/SEAGATE/ST18000NM001J_340152.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/ST18000NM001J, Seagate ST18000NM001J Exos X18 18tb 7.2K sata-6gbps 256mb buffer 3.5&quot; Hdd,http://www.serversuply.com//images/item/340152.jpg,SEAGATE ST18000NM001J EXOS X18 18TB 7200RPM SATA-6GBPS 256MB BUFFER 512E/4KN SED 3.5INCH ENTERPRISE HARD DISK DRIVE. NEW WITH MFG WARRANTY. ,IN STOCK,ST18000NM001J,340152,SEAGATE,475,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St18000nm001j
Product Line : Exos X18
Product Name : Exos X18 18tb Hard Drive.

Best-fit Applications :
Scalable Hyperscale Applications/cloud Data Centers
Massive Scale-out Data Centers
Big Data Applications
High-capacity Density Raid Storage
Mainstream Enterprise External Storage Arrays
Distributed File Systems, Including Hadoop And Ceph
Enterprise Backup And Restore— D2d, Virtual Tape
Centralized Surveillance

Key Features :
Storage Capacity : 18 Tb
Enclosure : Internal
Interface : Sata-6gbps
512e Sector Size (bytes Per Sector) : 512
4kn Sector Size (bytes Per Sector) : 4096
Drive Dimensions : 3.5 Inch
Mtbf : 2.5 Million Hours
Helium Sealed-drive Design : Yes
Superparity : Yes
Low Halogen : Yes
Powerchoice™ Idle Power Technology : Yes
Powerchoice™ Power/performance Technology : Yes
Low Halogen/hot-plug Support : Yes
Organic Solderability Preservative : Yes
Rsa 2048 Firmware Verification (sd&d) : Yes

Drive Performance :
Interface Access Speed (gb/s) : 6.0, 3.0
Sustained Data Transfer Rate Od (max): Up To 270, 258 Mbps
Random Read/write 4k Qd16 Wcd (iops) : 170/550
Average Latency : 4.16 Ms
Interface Ports : Single
Buffer : 256 Mb
Rotational Speed : 7200 Rpm

Physical :
Dimensions ( L X W X H) : 147.0 X 101.85 X 26.1 Mm
Weight : 670 G



Condition : Brand New With Mfg Warranty.
Availability : In Stock.
Server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/SEAGATE/ST18000NE000_340160.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/ST18000NE000, Seagate Ironwolf Pro ST18000NE000 18TB 7.2K RPM Sata-6Gbps 3.5&quot; HDD,http://www.serversuply.com//images/item/340160.jpg,SEAGATE ST18000NE000 IRONWOLF PRO 18TB 7200RPM SATA-6GBPS 256MB BUFFER 3.5INCH HARD DISK DRIVE. NEW WITH MFG WARRANTY. ,IN STOCK,ST18000NE000,340160,SEAGATE,550,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St18000ne000
Product Line : Ironwolf Pro
Product Name : Ironwolf Pro 18tb Hard Drive.

Best-fit Applications :
Commercial And Enterprise Network-attached Storage (nas)
1- To 24-bay Network Attached Storage (nas)
Backup, Archiving, And Disaster Recovery
On-premise Private Cloud
Virtual Storage

Key Features :
Storage Capacity : 18 Tb
Enclosure : Internal
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Sustained Data Transfer Rate Od (max) : 260 Mb/s
Interface Ports : Single
Buffer : 256 Mb
Rotational Speed : 7200 Rpm

Physical :
Dimensions (l X W X H) : 146.99 X 101.85 X 26.11 Mm
Weight : 670 G



condition : New With Mfg Warranty.
availability : In Stock.
server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/SEAGATE/ST18000NM003D_352792.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/ST18000NM003D, Seagate ST18000NM003D Exos X20 18tb 7.2K sata-6gbps 256mb buffer 3.5&quot; Hdd,http://www.serversuply.com//images/item/352792.jpg,SEAGATE ST18000NM003D EXOS X20 18TB 7200RPM SATA-6GBPS 256MB BUFFER 512E/4KN 3.5INCH ENTERPRISE HARD DISK DRIVE. NEW WITH MFG WARRANTY. ,IN STOCK,ST18000NM003D,352792,SEAGATE,500,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St18000nm003d
Product Line : Exos X20
Product Name : Exos X20 18tb Hard Drive.

Best-fit Applications :
Scalable Hyperscale Applications/cloud Data Centers
Massive Scale-out Data Centers
Big Data Applications
High-capacity Density Raid Storage
Mainstream Enterprise External Storage Arrays
Distributed File Systems, Including Hadoop And Ceph
Enterprise Backup And Restore— D2d, Virtual Tape
Centralized Surveillance

Key Features :
Storage Capacity : 18 Tb
Enclosure : Internal
Interface : Sata-6gbps
512e Sector Size (bytes Per Sector) : 512
4kn Sector Size (bytes Per Sector) : 4096
Drive Dimensions : 3.5 Inch
Mtbf : 2.5 Million Hours
Helium Sealed-drive Design : Yes
Superparity : Yes
Low Halogen : Yes
Powerchoice™ Idle Power Technology : Yes
Powerchoice™ Power/performance Technology : Yes
Low Halogen/hot-plug Support : Yes
Organic Solderability Preservative : Yes
Rsa 2048 Firmware Verification (sd&d) : Yes

Drive Performance :
Interface Access Speed (gb/s) : 6.0, 3.0
Sustained Data Transfer Rate Od (max): 285/272 Mbps
Random Read/write 4k Qd16 Wcd (iops) : 168/550
Average Latency : 4.16 Ms
Interface Ports : Single
Buffer : 256 Mb
Rotational Speed : 7200 Rpm

Physical :
Dimensions ( L X W X H) : 147.0 X 101.85 X 26.1 Mm
Weight : 670 G



Condition : Brand New With Mfg Warranty.
Availability : In Stock.
Server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/WESTERN DIGITAL/WD181KRYZ_338294.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/WD181KRYZ, WD Gold WD181KRYZ Enterprise Class 18TB 7200RPM Sata 6Gbps 512MB Cache 3.5&quot; HDD,http://www.serversuply.com//images/item/338294.jpg,WESTERN DIGITAL WD181KRYZ WD GOLD 18TB 7200RPM SATA-6GBPS 512MB BUFFER 3.5INCH INTERNAL ENTERPRISE CLASS HARD DISK DRIVE. NEW WITH MFG WARRANTY. CALL.,IN STOCK,WD181KRYZ,338294,WESTERN DIGITAL,509,New,Sever Supply,"Detail overview
General Information:
Manufacturer: Western Digital Corporation
Manufacturer Website Address: Www.wdc.com
Manufacturer Part Number: Wd181kryz
Product Line: Wd Gold
Product Name: Wd Gold 18tb Enterprise Class Hard Drive

Key Features :
Capacity : 18 Tb
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Spindle Speed : 7200 Rpm
Buffer : 512 Mb




condition : New With Mfg Warranty.
availability : Call.
server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/WESTERN DIGITAL/WD181KFGX_341830.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/WD181KFGX, WD Red Pro NAS WD181KFGX 18TB 7200 RPM SATA 6Gb/s 512MB Cache 3.5&quot; HDD,http://www.serversuply.com//images/item/341830.jpg,WESTERN DIGITAL WD181KFGX WD RED PRO 18TB 7200RPM SATA-6GBPS 512MB BUFFER 3.5INCH INTERNAL HARD DISK DRIVE FOR NAS STORAGE. NEW WITH MFG WARRANTY. ,IN STOCK,WD181KFGX,341830,WESTERN DIGITAL,690,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Western Digital Corporation
Manufacturer Website Address : Www.wdc.com
Manufacturer Part Number : Wd181kfgx
Product Line : Wd Red Pro
Product Name: Wd Red Pro 18tb Hard Drive

Key Features :
Capacity : 18 Tb
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Spindle Speed : 7200 Rpm
Max. Sustained Transfer Rate : 255 Mbps
Buffer : 512 Mb

Physical :
Dimensions (l X W X H) : 147.0 X 101.6 X 26.1 Mm
Weight : 660 G



condition : New With Mfg Warranty.
availability : In Stock.
server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/WESTERN DIGITAL/WUH721818ALE6L0_343890.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/WUH721818ALE6L0, WD WUH721818ALE6L0 Ultrastar dc hc550 18tb 7.2k sata-6gbps 512mb 512e 3.5&quot; Hdd,http://www.serversuply.com//images/item/343890.jpg,WESTERN DIGITAL WUH721818ALE6L0 ULTRASTAR DC HC550 18TB 7200RPM SATA-6GBPS 512MB BUFFER 512E 3.5INCH HELIUM PLATFORM ENTERPRISE HARD DRIVE. NEW DELL OEM WITH 2YRS SERVER SUPPLY WARRANTY. ,IN STOCK,WUH721818ALE6L0,343890,WESTERN DIGITAL,550,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Western Digital Corporation
Model : Wuh721818ale6l0
Product Line : Ultrastar
Product Series : Ultrastar Dc Hc550
Product Name : Ultrastar Dc Hc550 18tb Enterprise Hard Drive.

Applications/environments :
Cloud & Hyperscale Storage
Massive Scale-out (mso), High-density Data Centers
Distributed File Systems
Bulk Storage Using Object Storage Solutions Likeceph™ And Openstack® Swift
Primary And Secondary Storage For Apachehadoop® For Big Data Analytics

Key Features :
Storage Capacity : 18 Tb
Enclosure : Internal
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Mtbf : 2.5 Million Hours

Drive Performance :
Interface Transfer Rate : 600 Mbps
Sustained Transfer Rate : 257 Mbps
Average Latency : 4.16 Ms
Buffer : 512 Mb
Rotational Speed : 7200 Rpm

Physical :
Z-height : 26.1 Mm
Dimensions ( W X D) : 101.6 X 147 Mm
Weight : 690 G



Condition : Brand New Dell Oem.
Availability : In Stock.
Server Supply Warranty : 2 Years."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/SEAGATE/ST18000NM000J_340150.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/ST18000NM000J, Seagate ST18000NM000J Exos X18 18tb 7.2K sata-6gbps 256mb buffer 3.5&quot; Hdd,http://www.serversuply.com//images/item/340150.jpg,SEAGATE ST18000NM000J EXOS X18 18TB 7200RPM SATA-6GBPS 256MB BUFFER 512E/4KN 3.5INCH ENTERPRISE HARD DISK DRIVE. NEW WITH MFG WARRANTY. ,IN STOCK,ST18000NM000J,340150,SEAGATE,347,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Seagate
Manufacturer Model : St18000nm000j
Product Line : Exos X18
Product Name : Exos X18 18tb Hard Drive.

Best-fit Applications :
Scalable Hyperscale Applications/cloud Data Centers
Massive Scale-out Data Centers
Big Data Applications
High-capacity Density Raid Storage
Mainstream Enterprise External Storage Arrays
Distributed File Systems, Including Hadoop And Ceph
Enterprise Backup And Restore— D2d, Virtual Tape
Centralized Surveillance

Key Features :
Storage Capacity : 18 Tb
Enclosure : Internal
Interface : Sata-6gbps
512e Sector Size (bytes Per Sector) : 512
4kn Sector Size (bytes Per Sector) : 4096
Drive Dimensions : 3.5 Inch
Mtbf : 2.5 Million Hours
Helium Sealed-drive Design : Yes
Superparity : Yes
Low Halogen : Yes
Powerchoice™ Idle Power Technology : Yes
Powerchoice™ Power/performance Technology : Yes
Low Halogen/hot-plug Support : Yes
Organic Solderability Preservative : Yes
Rsa 2048 Firmware Verification (sd&d) : Yes

Drive Performance :
Interface Access Speed (gb/s) : 6.0, 3.0
Sustained Data Transfer Rate Od (max): Up To 270, 258 Mbps
Random Read/write 4k Qd16 Wcd (iops) : 170/550
Average Latency : 4.16 Ms
Interface Ports : Single
Buffer : 256 Mb
Rotational Speed : 7200 Rpm

Physical :
Dimensions ( L X W X H) : 147.0 X 101.85 X 26.1 Mm
Weight : 670 G



Condition : Brand New With Mfg Warranty.
Availability : In Stock.
Server Supply Warranty : 30 Days."
https://www.serversupply.com/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/WESTERN DIGITAL/WUH721818ALE6L4_334647.htm,Home/HARD DRIVES/SATA-6GBPS/18TB-7200RPM/WUH721818ALE6L4, WD WUH721818ALE6L4 Ultrastar dc hc550 18tb 7.2k sata-6gbps 512mb 512e se 3.5&quot; Hdd,http://www.serversuply.com//images/item/334647.jpg,WESTERN DIGITAL WUH721818ALE6L4 ULTRASTAR DC HC550 18TB 7200RPM SATA-6GBPS 512MB BUFFER 512E SE 3.5INCH HELIUM PLATFORM ENTERPRISE HARD DRIVE. NEW WITH MFG WARRANTY. ,IN STOCK,WUH721818ALE6L4,334647,WESTERN DIGITAL,335,New,Sever Supply,"Detail overview
General Information :
Manufacturer : Western Digital Corporation
Model : Wuh721818ale6l4
Product Line : Ultrastar
Product Series : Ultrastar Dc Hc550
Product Name : Ultrastar Dc Hc550 18tb Enterprise Hard Drive.

Applications/environments :
Cloud & Hyperscale Storage
Massive Scale-out (mso), High-density Data Centers
Distributed File Systems
Bulk Storage Using Object Storage Solutions Likeceph™ And Openstack® Swift
Primary And Secondary Storage For Apachehadoop® For Big Data Analytics

Key Features :
Storage Capacity : 18 Tb
Enclosure : Internal
Interface : Sata-6gbps
Drive Dimensions : 3.5 Inch
Mtbf : 2.5 Million Hours

Drive Performance :
Interface Transfer Rate : 600 Mbps
Sustained Transfer Rate : 257 Mbps
Average Latency : 4.16 Ms
Buffer : 512 Mb
Rotational Speed : 7200 Rpm

Physical :
Z-height : 26.1 Mm
Dimensions ( W X D) : 101.6 X 147 Mm
Weight : 690 G



Condition : Brand New With Mfg Warranty.
Availability : In Stock.
Server Supply Warranty : 30 Days."
